#ID I L O Z T J S Perfect
578 0 4 0 0 1 2 3 1
579 0 0 4 0 1 2 3 1
580 0 0 0 4 1 2 3 1
581 3 4 0 0 1 0 2 1
582 3 0 4 0 1 0 2 1
583 3 0 0 4 1 0 2 1
584 3 0 0 0 1 4 2 1
585 4 3 0 0 1 0 2 1
586 0 3 4 0 1 0 2 0
587 0 3 0 4 1 0 2 1
588 0 3 0 0 1 4 2 1
589 4 0 3 0 1 0 2 1
590 0 4 3 0 1 0 2 0
591 0 0 3 4 1 0 2 1
592 0 0 3 0 1 4 2 1
593 4 0 0 3 1 0 2 1
594 0 4 0 3 1 0 2 1
595 0 0 4 3 1 0 2 1
596 0 0 0 3 1 4 2 1
597 4 0 0 0 1 3 2 1
598 0 4 0 0 1 3 2 1
599 0 0 4 0 1 3 2 1
600 0 0 0 4 1 3 2 1
601 2 3 4 0 0 1 0 0
602 2 3 0 4 0 1 0 0
603 2 3 0 0 4 1 0 1
604 2 3 0 0 0 1 4 0
605 2 4 3 0 0 1 0 1
606 2 0 3 4 0 1 0 1
607 2 0 3 0 4 1 0 1
608 2 0 3 0 0 1 4 1
609 2 4 0 3 0 1 0 1
610 2 0 4 3 0 1 0 0
611 2 0 0 3 4 1 0 1
612 2 0 0 3 0 1 4 0
613 2 4 0 0 3 1 0 1
614 2 0 4 0 3 1 0 1
615 2 0 0 4 3 1 0 1
616 2 0 0 0 3 1 4 1
617 2 4 0 0 0 1 3 1
618 2 0 4 0 0 1 3 1
619 2 0 0 4 0 1 3 1
620 2 0 0 0 4 1 3 1
621 3 2 4 0 0 1 0 0
622 3 2 0 4 0 1 0 0
623 3 2 0 0 4 1 0 1
624 3 2 0 0 0 1 4 0
625 4 2 3 0 0 1 0 0
626 0 2 3 4 0 1 0 0
627 0 2 3 0 4 1 0 0
628 0 2 3 0 0 1 4 0
629 4 2 0 3 0 1 0 0
630 0 2 4 3 0 1 0 0
631 0 2 0 3 4 1 0 0
632 0 2 0 3 0 1 4 0
633 4 2 0 0 3 1 0 1
634 0 2 4 0 3 1 0 0
635 0 2 0 4 3 1 0 0
